Unnamed: 0,product_title,star_rating,review_body
116,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,"Product is good however  giving 1 star  because of ""Amazon only"" who  is highlighting under partner offerGet upto INR 36000 worth free download of software titles on Purchase of select Intel laptops on Amazon.in and this may includes.... AGAIN... THIS MAY INCLUDES  my intel processor among many processor mentioned.. Kindly check yourself the whole transcript here and judge yourself.This is like fooling around.. not good experience for the behemoth like AMAZON.. I dont think anyone reads like this..DUE TO SECURITY CONCERNS, ACCESS TO THE OFFER WEBSITE VIA A VIRTUAL PRIVATE NETWORK OR PROXY IS STRICTLY PROHIBITED.ELIGIBILITY.You are eligible to participate in the Promotion if you (i) agree to these Offer T&Cs; (ii) agree to Sponsor’s Tand ; (iii) have a valid Intel® Digital Hub account (“Account”) in accordance with the (“Account T&Cs”); (iv) agree to terms and conditions established by a Participating Retailer and meet the specific requirements of a Participating Retailer for the purchase of one of the qualifying processor-based devices on such Participating Retailer’s list of qualifying devices (“Qualifying Device(s)”), during the specific purchase period established by such Participating Retailer (“Purchase Period”); (v) receive a unique series of alphanumeric characters from such Participating Retailer (“Master Key”), and (vi) complete a survey about your purchase. If you have not yet reached the age of majority set by your country/region territory of legal residence (18 years of age in many countries), please ask your parent or legal guardian to participate in this Promotion on your behalf.The Qualifying Device(s) may differ by Participating Retailer and may include some, but not necessarily all, of the following devices: Intel® Core™ i5-10200H, Intel® Core™ i5-10210U, Intel® Core™ i5-10210Y, Intel® Core™ i5-10300H, Intel® Core™ i5-1030G4, Intel® Core™ i5-1030G7, Intel® Core™ i5-1030NG4, Intel® Core™ i5-1030NG7, Intel® Core™ i5-10310Y, Intel® Core™ i5-1035G1, Intel® Core™ i5-1035G4, Intel® Core™ i5-1035G7, Intel® Core™ i5-1038NG7, Intel® Core™ i5-10400, Intel® Core™ i5-10400F, Intel® Core™ i5-10400H, Intel® Core™ i5-10400T, Intel® Core™ i5-10500, Intel® Core™ i5-10500H, Intel® Core™ i5-10500T, Intel® Core™ i5-10600, Intel® Core™ i5-10600K, Intel® Core™ i5-10600KF, Intel® Core™ i5-10600T, Intel® Core™ i5-11300H, Intel® Core™ i5-1130G7, Intel® Core™ i5-1135G7, Intel® Core™ i5-11400, Intel® Core™ i5-11400F, Intel® Core™ i5-11400T, Intel® Core™ i5-1140G7, Intel® Core™ i5-1145G7, Intel® Core™ i5-1145G7E, Intel® Core™ i5-1145GRE, Intel® Core™ i5-11500, Intel® Core™ i5-11500T, Intel® Core™ i5-11600, Intel® Core™ i5-11600K, Intel® Core™ i5-11600KF, Intel® Core™ i5-11600T, Intel® Core™ i5-7200U, Intel® Core™ i5-7260U, Intel® Core™ i5-7267U, Intel® Core™ i5-7287U, Intel® Core™ i5-7300HQ, Intel® Core™ i5-7300U, Intel® Core™ i5-7360U, Intel® Core™ i5-7400, Intel® Core™ i5-7400T, Intel® Core™ i5-7410HQ, Intel® Core™ i5-7440EQ, Intel® Core™ i5-7442EQ, Intel® Core™ i5-7500, Intel® Core™ i5-7500T, Intel® Core™ i5-7600, Intel® Core™ i5-7600K, Intel® Core™ i5-7600T, Intel® Core™ i5-7640X, Intel® Core™ i5-8200Y, Intel® Core™ i5-8210Y, Intel® Core™ i5-8250U, Intel® Core™ i5-8257u, Intel® Core™ i5-8259U, Intel® Core™ i5-8260U, Intel® Core™ i5-8265U, Intel® Core™ i5-8269U, Intel® Core™ i5-8279u, Intel® Core™ i5-8300H, Intel® Core™ i5-8305G, Intel® Core™ i5-8310Y, Intel® Core™ i5-8350U, Intel® Core™ i5-8365U, Intel® Core™ i5-8365UE, Intel® Core™ i5-8400, Intel® Core™ i5-8400H, Intel® Core™ i5-8400T, Intel® Core™ i5-8500, Intel® Core™ i5-8500T, Intel® Core™ i5-8600, Intel® Core™ i5-8600K, Intel® Core™ i5-8600T, Intel® Core™ i5-9300H, Intel® Core™ i5-9400, Intel® Core™ i5-9400F, Intel® Core™ i5-9400H, Intel® Core™ i5-9400T, Intel® Core™ i5-9500, Intel® Core™ i5-9500E, Intel® Core™ i5-9500F, Intel® Core™ i5-9500T, Intel® Core™ i5-9500TE, Intel® Core™ i5-9600, Intel® Core™ i5-9600K, Intel® Core™ i5-9600KF, Intel® Core™ i5-9600T, Intel® Core™ i7-10510U, Intel® Core™ i7-10510Y, Intel® Core™ i7-1060G7, Intel® Core™ i7-1060NG7, Intel® Core™ i7-1065G7, Intel® Core™ i7-1068NG7, Intel® Core™ i7-10700, Intel® Core™ i7-10700F, Intel® Core™ i7-10700K, Intel® Core™ i7-10700KF, Intel® Core™ i7-10700T, Intel® Core™ i7-10710U, Intel® Core™ i7-10750H, Intel® Core™ i7-10850H, Intel® Core™ i7-10870H, Intel® Core™ i7-10875H, Intel® Core™ i7-11370H, Intel® Core™ i7-11375H, Intel® Core™ i7-1160G7, Intel® Core™ i7-1165G7, Intel® Core™ i7-11700, Intel® Core™ i7-11700F, Intel® Core™ i7-11700K, Intel® Core™ i7-11700KF, Intel® Core™ i7-11700T, Intel® Core™ i7-1180G7, Intel® Core™ i7-1185G7, Intel® Core™ i7-1185G7E, Intel® Core™ i7-1185GRE, Intel® Core™ i7-7500U, Intel® Core™ i7-7560U, Intel® Core™ i7-7567U, Intel® Core™ i7-7600U, Intel® Core™ i7-7660U, Intel® Core™ i7-7700, Intel® Core™ i7-7700HQ, Intel® Core™ i7-7700K, Intel® Core™ i7-7700T, Intel® Core™ i7-7740X, Intel® Core™ i7-7800X, Intel® Core™ i7-7810HQ, Intel® Core™ i7-7820EQ, Intel® Core™ i7-7820HK, Intel® Core™ i7-7820HQ, Intel® Core™ i7-7820X, Intel® Core™ i7-7920HQ, Intel® Core™ i7-8086K, Intel® Core™ i7-8500Y, Intel® Core™ i7-8510Y, Intel® Core™ i7-8550U, Intel® Core™ i7-8559U, Intel® Core™ i7-8565U, Intel® Core™ i7-8569U, Intel® Core™ i7-8650U, Intel® Core™ i7-8665U, Intel® Core™ i7-8700, Intel® Core™ i7-8700K, Intel® Core™ i7-8700T, Intel® Core™ i7-8705G, Intel® Core™ i7-8706G, Intel® Core™ i7-8709G, Intel® Core™ i7-8750H, Intel® Core™ i7-8809G, Intel® Core™ i7-8850H, Intel® Core™ i7-9700, Intel® Core™ i7-9700F, Intel® Core™ i7-9700K, Intel® Core™ i7-9700KF, Intel® Core™ i7-9700T, Intel® Core™ i7-9750H, Intel® Core™ i7-9800X, Intel® Core™ i7-9850H, Intel® Core™ i7-9850HE, Intel® Core™ i7-9850HLThe Purchase Period may differ by Participating Retailer and may span some, but not necessarily all, of the following period: {May 8, 2021 USA Pacific Time} to {August 31, 2021 USA Pacific Time}"
117,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,HP Pavilion laptop is slim & look premium. It's design as similar to Apple Macbook Air. I had a another HP Pavilion laptop but it had a complaint that if you open the lap the keyboard cover will slightly bend. This HP Pavilion laptop solve it's problem.Advantage1. Light Weight2. Slim Body3. Great Display & Camera4. Enriched Bang & Olufsen sound5. Output heat is place between screenDisadvantage1. To make laptop slim they had to remove Lan/Ethernet2. The Key are white. Some time we have to turn off to see the letter of the key3. Need to buy Adapter for Lan/Ethernet supply4. There are 2 USB  & One Type C USB. If u need to connect more device buy a5. Some time it is hard to physical connect to USB AConclusion: Since it has some drawback. I did buy the product for it's price & it's Brand Also. I loved it
118,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,THE PROCESSOR MENTIONED ON WEBSITE IS OF 4.2GHZ BUT WHAT I RECIEVED IS OF 2.4GHZ
119,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,Pavillions are the worst laptops please think twice before buying this product I have Pavillion laptop i5 but the performance is really not to the point plus i have graphics card and its not up to point as it seems to be better buy a asus laptop
120,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,"Awesome features in this laptopScreen is delight, back lit keyboard is awesome, finger print recognition is really good. I cannot imagine I could get all these features at this price. Super fast drive, free office what else you need.... 16 gb ramBeen using this for more than 2 weeks.. I am really really happy. On top of it awesome customer care service on what's app"
121,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,"First, Notebook is Over HeatingSecond,  Notebook is not openingI am fully unsatisfied"
122,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,"The media could not be loaded.                  I got the DV1001TU  model. Product description claims to be anti-glare screen but in fact, it is so highly reflective like a mirror, that I can comb my hairs using it; very uncomfortable to work on. Touchscreen laptops usually have reflective screens (like the one on the right in the video that I've uploaded), but this is not even touchscreen. Simply unacceptable screen quality. The product is not returnable; it's replacement only and Amazon makes it a walk through hell, to return this on account of false description.Connecting second monitor over USB-C DP does not work; second display as well as the laptop display starts losing signal. Driver update makes not difference.Windows 11 is preinstalled and its not easy to install Windows 10; drivers for SSD are missing if you try a clean install with ISO created with Windows Media Creation Tool."
123,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,"The media could not be loaded.                  1. I bought this laptop in exchange. Old laptop had a Lil crash on it. Delivery guy first denied to exchange as there was a small crack. When I said to back the new product he asked me some money and said he ll manage at his end. I didn't pay him. Later on he agreed to take old product and in case if it gets rejected in the policy he ll take back new laptop. But nothing went wrong so he didn't call me back after.2. Please see the images and video. In just 6 months of use I faced display flickering issue. Even though it was under warranty, I had to run to service center for repair. They tried to reinstall OS but it was of no use. Finally they had to change the entire display and to my surprise even that didn't solve the issue.I am still facing the same flickering of display issue.Frustrated with the service and quality of the product."
124,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,"Everything is good. But I am little bit disappointed , I was expecting better battery backup."
125,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,The media could not be loaded.                  Writing review after a week of using my beautiful slim light weight laptop.No need to describe much as I found no cons in this laptop functioning nice no issues till now price might be a bit high but overall I found very nice and handy laptop for all students and study purpose and using software applications running smooth.
126,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,"Worst Amazon experience ever. This laptop arrived with a defective battery and even after 3 hours of charging, the battery level remained at 65% when the power cord was removed from supply. Immediately on removing the power cord the laptop shuts down. There is no matter any charge left on the laptop battery which seems to be defective. Never expected such a faulty product from HP. Very pathetic and really disappointed. Could not return it or replace it without booking an inspection appointment. Waiting for them to arrive and inspect it. Never buy HP products as they dont appear to be QC ed properly. Could not give a negative rating so selecting 1 star.Edited - The inspection happened 2 days after requesting for replacement. The replacement laptop was approved and ordered. It took another 2 days for Amazon to ship and deliver. However, the delivery person refused to hand over the replacement and accept the defective laptop as he could not power it on!!The actual defect was the battery and there was no way he could start it or power on without using the external power cord.The delivery person left without accepting the inspected and marked defective laptop. I’m still waiting for confirmation that the laptop will be replaced. Pathetic experience from both Amazon and HP. Would have given negative 10 stars for Earth’s customer centric company if possible."
127,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,"This is an excellent product. Appearance looks great. Start and shutdown in a blink due to NVMe SSD. All the configurations including RAM, processor, ports are well tested and optimized. Very light waight and portable for frequent travellers."
128,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,2,It’s look like renewed laptop because laptop charging jack is loose and left side speaker sounds like it’s tear. Bad sound quality  and finger sensor quality look like 2011 touch phone of wing and any Chinese phone touch. Waste of money and one more thing day by day Amazon product quality getting poor
129,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,"Did a lot of research and landed on this laptop. I am not a gamer and didn't want a gaming laptop or a laptop with a dedicated graphics card. If that's your thing, then probably look elsewhere. Was not able to find this configuration anywhere for this price - 512gb SSD, 16gb RAM with i5 processor. It's an absolute beast. Everything flies and windows is looking so much better now (I was coming from a macbook pro). I was taken a back at how good this thing is. Does all the daily tasks without a sweat. The audio output is also decent (not great). Has a USB C port which can be used for charging (haven't tried this, but someone else had put a detailed review with this feature - check it out).One con: If you close the lid and connect it to an external monitor, the wifi speed drops, if you're a bit far from your router. Let me explain: my office room is a bit far away from the router (don't ask me why I set it up like this). I took the laptop there and connected it to my monitor and closed the lid and kept it on a stand. The wifi became very slow. I disconnected the monitor and opened the lid and checked to see that the wifi speed was triple now. Googled and saw that the wifi antennas are below the trackpad - so someone suggested to keep the trackpad part of the laptop on top while placing it on the stand. This helped a bit; in the end, I kept the lid a wee bit open on the stand, and this solved the issue."
130,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,"I had given a good review earlier but 40 days later it is different story altogether. HP black screen problem is all pervading. I have installed no softwares nothing that could harm computer, but it is giving me ride for the day. No amount of customer response is helping.  I have scheduled for on site visit. Let's see where it goes.Switch to apple if you can afford."
131,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,This is my first laptop and i love it !... It turn on within in fraction of seconds..Pros :1) 16 gigs of RAM & i 5 11 gen processor gives the butter smooth experience.2) Excellent battery lifeCons:Touch pad should be more precise
132,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,2,"Update after one month usage - MS Office 2019 preinstalled edition became unlicensed version within 30 days and refused to activate. HP support shared their product sheet that stated that this laptop came only with a trial version of MS Office 2019. Now I am chasing seller Appario Retail to honour the commitment.Bad experience after paying high price (around ₹67,000) for preinstalled genuine software.Other wise product has sleek looks, superfast fingerprint scanner, very good display, very responsive touchpad, decent (but tinny) speakers, USB C and barrel plug charging options and under 10 second boot up (SSD drive). Preloaded with Win10 Home and MS Office (not sure whether trial or full version). Drawbacks - weighs 1.42 kg, base gets warm rather quickly and so does the power adapter. Decent for a college student."
133,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,The media could not be loaded.                  The laptop I received was having RAM issues which could only be diagnosed after 7 days. And so I have to incur the repair cost .Hence I would advise not to buy anything electronic from Amazon.For every thing else Amazon is just good.
134,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,The media could not be loaded.                  System turns off automatically in few seconds so poor
135,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,I bought this laptop from hp store. This is the best budget laptop having 16gb - 3200 RAM. We can also increase the capacity of SSD to 1TB.One thing I didn't like is 250 nits brightness..mit should have been 300 nits.- latest 11th gen processor- 16gb RAM- SSD storage- Backlit keyboard- Fingerprint- Type C charging (but they don't provide type C Charger)- Only 1.41 kg
136,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,Only cpu speed  I see different than mentioned in laptop  details.
137,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,"Can someone let me know what's the model number displaying in HP warranty support for Dv1001tu? I received this laptop today. Model number on the box , Laptop back panel and Specification details are matching . But when I am seeing in HP portal, it's showing DV1000"
138,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,"Before ordering the Laptop, I prayed to god to send me the perfect laptop without needing to contact the seller or the HP. and Yes, my prayed were answered. The Laptop works as expected - audio, camera, speed (as it has 16 GB RAM). Thanks HP and Amazon."
139,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,The media could not be loaded.                  Good product
140,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,"Like:Booting time is very less.Light weightSuper fastFinger touch unlock is super fastDislike:180 hinges are missingOpening lid is not designed properly, bit difficult to open the lid"
141,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,2,The media could not be loaded.                  I had seen the specifications and bought this laptop upon checking details this laptop is not 4.2ghz it is only 2.42 ghz. The battery does not last more than 2 hours
142,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,"A bad choice purchase from amazon. After a week of use, the laptop screen display goes off every 5 to 10 minutes. When it goes off, I need to switch the laptop on, the display comes back and after 5 minutes again goes off, again switch it on.  Tired of it. Frustrated. Don't buy electronics from Amazon."
143,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,3,"After using one yearPros:1. Feels premium2. No lagging3. Gta v you can play easily but not at high frame rateCons:1. Heating issue is there2. Battery not last as mentioned it just giving 2,3 hours of backup when you are doing some work. If you’re watching movie then 3,4 hours of backup it will give3. Main issue is product is not sturdy, when you hold your laptop with just one hand then it sometimes shutdown and also you will get to see some red line on screen when a little thing you drop at the top of the laptop.At this price point go for dell it has metal body."
144,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,"This laptop from HP has an excellent hardware configuration. A brand new laptop was delivered to me within 1 day of placing the order. The set-up was pretty fast. You can configure the Office 365 1-month trial version (comes with the laptop) or install your own MS-Office copy. Does not come with a carry-bag or any other accessory. Start-up is extremely smooth and fast with Windows Hello Fingerprint Scan and no problems encountered in the last more than 15 days of daily usage. The fingerprint scanner can however only be used for Windows Hello, it cannot be used for entering your password on websites using HP Security Manager App (as confirmed by HP Support Specialist). Other than this, no problems with the hardware configuration."
145,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,3,The system heats up a lot during normal usage or even when kept idle. Rest all seems ok as of now. Boots fast and good at multitask. Expected a privacy shutter for web cam at this price. Privacy concerned people pls buy one from amazon.
146,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,"In just 6 month, Laptop’s charging pin short circuited and burned the port as well.HP claims 1 year manufacturer’ warranty which is a JOKE guys, beware of that.Reached out to HP but they being a fraudster company Denied the manufacturer warranty , reasoning they don't cover accidents and Asked around 10 k for chargeable service.Common, your product quality sucks man , own it up. Your charger pin short circuited without any liquid spill or moisture.I have a 8 year old Dell laptop, and a 6 year old Acer . Both had no issues in the same house hold.I will never trust this company again.Cheap company , cheap product and utterly disappointing service.It will work like charm UNTIL it can, and then the HP will start drilling more holes in your pocket ."
147,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,"HP would not consider dead pixel in warranty as they need 2 dead pixels. Above that if in case there is a dead pixel, then they will try their best to put up many reasons to not entertain it in warranty, calling it customer induced damage.. LOL..Buy this at your own risk from Amazon. Who knows what i faced was because of Amazon induced damage during delivery...Someone tell HP that most common reason for a dead pixel is a MANUFACTURING DEFECT.."
148,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,1,"MS Office is not activated. Amazon installation services is useless, the guy didn't have sufficient knowledge. Product is not delivered as promised."
149,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,"Hp has done a great Job with their newly launched pavilion series. This model has all the latest features and it's very quick too. Best laptop at this price point. Don't think twice, Just buy it. You won't regret it 👍🏻"
150,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,Amazing machine for Web and Android App Development.I am using this laptop with Ubuntu and it's performance is Amazing.
151,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,5,"This is a an ultimate laptop for home business & study use. It comes along with MS Office 2019 and the surprise factor is unlike the description the machine is pre-installed with Windows 11 ! I was expecting Windows 10 and it was a surprise element for me.. Performance is excellent - it boots up fast, browser opens quick and MSO apps are blazing fast.. just like enterprise machines... Screen quality is also great... Overall loved the product. More to come as I use the system"
152,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,MS office 10 was in in the invoice.  After 1 year it is not working.
153,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,Productis missing SD card input and not matching with Actual specification.Rest all are goodOnce replaced but still got same config. Since I had an urgent requirement of Laptop on a work didn't changed second time. Could have been maintained the same specification. Not confident.
154,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,Quality of the laptop seems to be more premium and the lightweight of the laptop fits to our hand. I am not a gamer for normal usage it seems best in class. HP had worked very well in this series with good quality speakers and keyboards are nice power. On and off in lightening speed with the ssd  but the only disadvantage is the internal webcam which makes me very disappointed . its just a hd camera. For this price range HP should work on the camera section. overall nice product.
155,HP Pavilion 14 11th Gen Intel Core i5 16GB RAM,4,The media could not be loaded.                  I like performance of this product .But Same time i will like to tell uI love this product.🤣🤣🤣
